ID,Username,Data,Reply,Positive,Negative,Neutral,Hate,Offensive,Neither
1,England,Sun Nov 29 15:32:51 +0000 2020,' the government has ignored two studies it commissioned showing that hardly any of the badgers killed in two key areas in e',0.0,0.24,0.76,0.04,0.32,0.64
2,England,Sun Nov 29 15:32:49 +0000 2020,'william wallace was drawn and quartered. his bowels burned in front of him. then beheaded.\nhe was killed by england for protecting scotland.\nhe had no problem doing what was necessary to protect his people. he probably would have worn a mask. ',0.1,0.14,0.76,0.07,0.33,0.6
3,England,Sun Nov 29 15:32:51 +0000 2020,"""the movie braveheart doesn't even portray his life accurately. \nif you are interested and like historical fiction try jack whyte. \nhe wrote a great trilogy about william wallace. the guardians of scotland. \njack even lives in kelowna now.\nsupport local.""",0.2,0.0,0.8,0.06,0.33,0.61
4,England,Sun Nov 29 15:32:46 +0000 2020,' if only democrats knew whats happing right now! keep watching the puppet show your all in for a massive shock! we are in england and even we know! msm has definitely got the biden sheep asleep !',0.14,0.06,0.8,0.05,0.32,0.63
5,England,Sun Nov 29 15:32:46 +0000 2020,"' i love that guy when i watched that goal mexico 1986, against england'",0.24,0.0,0.76,0.03,0.4,0.57
6,England,Sun Nov 29 15:32:46 +0000 2020,"' \n\n if you agree that all so-called ""trail hunts"" should be banned indefinitely - there is no plac'",0.1,0.22,0.68,0.05,0.5,0.45
7,England,Sun Nov 29 15:32:46 +0000 2020,' i guess we will eventually see loads of wales residents escaping to england for a better life under a better government.',0.27,0.0,0.73,0.04,0.33,0.63
8,England,Sun Nov 29 15:32:46 +0000 2020,"' i\'m english so how long have you got? \n\nbtw there\'s plenty of good food in england, it\'s just that none of it is ""english "".'",0.1,0.0,0.9,0.04,0.4,0.56
9,England,Sun Nov 29 15:32:43 +0000 2020,' they are all out beating up innocent people engaged in legitimate democratic protest ',0.24,0.24,0.52,0.07,0.38,0.55
10,England,Sun Nov 29 15:32:41 +0000 2020,' diego matadors scored his infamous hand of god goal in the 1986 world cup when argentina was playing against england. ',0.27,0.0,0.73,0.04,0.34,0.62
11,England,Sun Nov 29 15:32:41 +0000 2020,"'another one! \n\nstokes (16) tries to hit back-to-back boundaries, but top edges it to de kock, who takes a simple catch \n\n england 83-4 (13.2)\n target: 147\n\nhear every ball of the run chase live &amp; exclusive on \n\n listen '",0.1,0.0,0.9,0.06,0.33,0.61
12,England,Sun Nov 29 15:32:39 +0000 2020,""" engels' early work 'the condition of the working class in england' inspired marx himself to look to the working class as""",0.13,0.0,0.87,0.04,0.31,0.64
13,England,Sun Nov 29 15:32:39 +0000 2020,""" massive wicket! bairstow can't repeat his friday night heroics, he holes out to deep midwicket for just 3.\n\nengland 55/3""",0.16,0.0,0.84,0.04,0.33,0.63
14,England,Sun Nov 29 15:32:38 +0000 2020,"""footage of camera man forging interview live with police in england's oxford street/regent street; allowing vital knowledge how they train british police officers, revealing conflict on regulations v common law\n\nsadly, tyrant finder isnt a journalists but common old uk muck..""",0.04,0.04,0.92,0.04,0.36,0.6
15,England,Sun Nov 29 15:32:38 +0000 2020,' my mother spent a good part of the war in bomb shelters in england. she did just fine. this is nothing compared to that.',0.14,0.22,0.64,0.04,0.44,0.53
16,England,Sun Nov 29 15:32:38 +0000 2020,"' you should be ignored. england is a white european nation, by the grace of a certain tribe, my people have been forced b'",0.16,0.17,0.66,0.27,0.53,0.2
17,England,Sun Nov 29 15:32:37 +0000 2020,""" a little girl engrossed in a book in a corner of foyles' bookshop. soho, london, england, uk (1949) """,0.07,0.0,0.94,0.04,0.36,0.6
18,England,Sun Nov 29 15:32:36 +0000 2020,' im from england and i am 100% a trump (freedom) supporter',0.39,0.0,0.61,0.04,0.32,0.65
19,England,Sun Nov 29 15:32:33 +0000 2020,' number 3 for shamsi. stokes gone! big wickets. england 4 down for 83 chasing 147 #saveng',0.09,0.0,0.91,0.03,0.33,0.64
20,England,Sun Nov 29 15:32:32 +0000 2020,""" 1986\nmaradona was named 'the god hand'\nan argentine whom is strong and admant when handling the ball\nhe scored the goal against england\nusing is hand at mexico stadium....\nfifaworldcup..grace cover me oo\n#betwaytrivia\n\n""",0.24,0.0,0.76,0.04,0.33,0.63
21,England,Sun Nov 29 15:32:31 +0000 2020,"'7pm today on \n\ncrossing england in a punt: river of dreams\n\nfrom the staffordshire hills to the humber estuary, spirited explorer tom fort embarks on a 170-mile journey down the river trent on his own custom-built punt, the trent otter. '",0.06,0.0,0.94,0.05,0.31,0.63
22,England,Sun Nov 29 15:32:26 +0000 2020,"' 1986 against england, they never forgave him '",0.0,0.2,0.8,0.04,0.35,0.62
23,England,Sun Nov 29 15:32:25 +0000 2020,"""and don't forget, despite scotland being in the eu, it should also be possible to maintain the free movement of people in our common travel area of england, scotland, wales, northern ireland, rep of ireland, channel islands, isle of man, as is currently the de facto case with ni.""",0.1,0.0,0.9,0.05,0.35,0.6
24,England,Sun Nov 29 15:32:24 +0000 2020,"' rising tide against var. sixteen months of it in england , and im pretty sure a poll of players , managers and fans would v'",0.19,0.0,0.81,0.04,0.35,0.61
25,England,Sun Nov 29 15:32:23 +0000 2020,'#saveng england starting to self destruct.',0.0,0.41,0.59,0.05,0.33,0.63
