ID,Username,Data,Reply,Positive,Negative,Neutral,Hate,Offensive,Neither
1,guardiannews,Sun Nov 29 10:43:08 +0000 2020,"' breaking news: ntd special live coverage of ""marches for trump,"" including ... ""stop the steal"" ... via '",0.11,0.22,0.66,0.06,0.21,0.73
2,guardiannews,Sun Nov 29 10:42:55 +0000 2020,' and #humanrights abuses by this regime not on his mind i see? f1 is pandering to authoritarian and humanrights abusing states - please make a stand and lead a boycott of these countries',0.06,0.22,0.73,0.06,0.33,0.62
3,guardiannews,Sun Nov 29 10:42:15 +0000 2020,'good things happen for many. ',0.37,0.0,0.63,0.03,0.3,0.66
4,guardiannews,Sun Nov 29 10:41:45 +0000 2020,"' ""with prejudice""'",0.0,0.62,0.38,0.03,0.37,0.6
5,guardiannews,Sun Nov 29 10:40:06 +0000 2020,' #fridaysforfuture dirty polluter and look what they doing in africa ',0.0,0.36,0.64,0.04,0.3,0.66
6,guardiannews,Sun Nov 29 10:39:47 +0000 2020,' dumg psot soo u wont have anything to defend ur self u wont have any freedom american wil be ruined and kamala will be ur presient scary thought',0.0,0.27,0.73,0.06,0.25,0.69
7,guardiannews,Sun Nov 29 10:39:08 +0000 2020,'pennsylvania supreme court throws out republican bid to reject 2.5m mail-in votes ',0.21,0.16,0.64,0.04,0.34,0.62
8,guardiannews,Sun Nov 29 10:41:45 +0000 2020,"' ""with prejudice""'",0.0,0.62,0.38,0.03,0.37,0.6
9,guardiannews,Sun Nov 29 10:39:00 +0000 2020,' because biden cheated?',0.0,0.52,0.48,0.04,0.33,0.63
10,guardiannews,Sun Nov 29 10:37:54 +0000 2020,"' good news worth twitting again and again, especially when the loooooooser is trump.'",0.29,0.0,0.71,0.03,0.36,0.61
11,guardiannews,Sun Nov 29 10:36:05 +0000 2020,' the trump coup has failed. clear to see where the real fraud is here. the his was all about covering campaign costs and debt',0.08,0.29,0.63,0.07,0.35,0.58
12,guardiannews,Sun Nov 29 10:34:37 +0000 2020,"' democrats have a puppet back in the whitehouse, democrates and republicans have spent decades screwing up america and people think it will all be fixed in 4 years? lol america will just be 4 more years deeper in it'",0.07,0.04,0.89,0.14,0.28,0.58
13,guardiannews,Sun Nov 29 10:33:58 +0000 2020,' so before you for example go to a new restaurant do you request samples of their food to be sent to a lab to look for anything irregular? do you ask for security schematics for the entire building and then spend days planning exit strategies just in case?',0.05,0.0,0.95,0.05,0.32,0.63
14,guardiannews,Sun Nov 29 10:33:18 +0000 2020,""" feels good, doesn't it""",0.42,0.0,0.58,0.04,0.33,0.63
15,guardiannews,Sun Nov 29 10:32:02 +0000 2020,' god save united kingdom.. there is no hope left now..',0.46,0.14,0.4,0.07,0.24,0.69
16,guardiannews,Sun Nov 29 10:31:31 +0000 2020,' france introducing laws that are similar to laws in north korea.. even china has more freedom of press than france.. where filming of police officers is not banned...macron is turning france in to a repressive state and he has become a tyrant in europe.. one of many...',0.09,0.04,0.87,0.06,0.29,0.65
17,guardiannews,Sun Nov 29 10:29:52 +0000 2020,' the guy wanted to finance an unhinged wannabe dictators efforts to steamroll american democratic processes. i only wish he lost $10 million',0.1,0.09,0.81,0.05,0.29,0.66
18,guardiannews,Sun Nov 29 10:29:06 +0000 2020,"' might wanna reconsider years of woke policy that treats young men like radioactive waste, inherently dirty for being born male then?'",0.09,0.21,0.7,0.04,0.37,0.59
19,guardiannews,Sun Nov 29 10:29:05 +0000 2020,' barbaric and most evil.. palestine has turned in to a holocaust camp for israeli military...',0.0,0.24,0.76,0.04,0.29,0.67
20,guardiannews,Sun Nov 29 10:28:52 +0000 2020,' the irony! ',0.0,0.33,0.67,0.04,0.31,0.65
21,guardiannews,Sun Nov 29 10:28:49 +0000 2020,""" what's new the indonesian military have been raping and killing west papuans in the thousands for years""",0.0,0.36,0.64,0.04,0.25,0.71
22,guardiannews,Sun Nov 29 10:27:35 +0000 2020,' #carrielam lacks self reflection. it was all her fault to draft the extradition bill last year. she tried',0.0,0.13,0.87,0.04,0.52,0.44
23,guardiannews,Sun Nov 29 10:27:05 +0000 2020,""" don't forget her hands are bloody.\n\nno bank account doesn't enough to pay for her crimes. """,0.17,0.0,0.83,0.04,0.49,0.47
24,guardiannews,Sun Nov 29 10:26:55 +0000 2020,""" schools must find ways other than exclusion to deal with the lack of discipline. it's often the disadvantaged kids that are more likely to be excluded but the most important thing is that exclusions are not effective as they don't result in any positive changes for those kids!""",0.13,0.17,0.7,0.06,0.28,0.67
25,guardiannews,Sun Nov 29 10:26:53 +0000 2020,""" registered democrat, donated to and voted for bernie sanders in 2016 and 2020. the headline of this post is misleading. the elections not over. what surprises me is this is the guardian. there's a lot to be said about #fakenews""",0.0,0.1,0.9,0.05,0.28,0.67
26,guardiannews,Sun Nov 29 10:26:50 +0000 2020,"' when she said over and over again that it was her honor to be sanctioned, we can know that her values are'",0.22,0.0,0.78,0.03,0.61,0.36
27,guardiannews,Sun Nov 29 10:26:30 +0000 2020,""" why's she getting paid in the 1st place? her salary is &gt; the us president's\npeople are losing their jobs busines""",0.0,0.12,0.89,0.06,0.48,0.46
28,guardiannews,Sun Nov 29 10:26:27 +0000 2020,' wow how many elections did they have',0.35,0.0,0.65,0.04,0.34,0.62
