ID,Username,Data,Reply,Positive,Negative,Neutral,Hate,Offensive,Neither
1,newscientist,Sat Nov 28 14:56:23 +0000 2020,' people cold and hungry. why the effen nukes? its not like they could ever use them. at least not for defense',0.0,0.15,0.85,0.03,0.37,0.61
2,newscientist,Sat Nov 28 14:55:57 +0000 2020,' strong opinion: there are very very few cases where log scales should be used in communicating data to the general public.',0.14,0.0,0.86,0.06,0.29,0.65
3,newscientist,Sat Nov 28 14:55:37 +0000 2020,' strong opinion: there are very very few cases where log scales should be used in communicating data to the general public.',0.14,0.0,0.86,0.06,0.29,0.65
4,newscientist,Sat Nov 28 14:54:28 +0000 2020,' google earth reveals suspected nuclear weapons facility in pakistan ',0.0,0.35,0.65,0.04,0.33,0.63
5,newscientist,Sat Nov 28 14:54:04 +0000 2020,' good grief.',0.41,0.45,0.14,0.04,0.33,0.63
6,newscientist,Sat Nov 28 14:54:01 +0000 2020,"'#futureag includes also underground drones, as founder lorenzo conti defines his mobile robotic scouting platform being able to dive into grain silos (and many more media). #livenow at future of food and agriculture session promoted by '",0.07,0.0,0.93,0.05,0.34,0.61
7,newscientist,Sat Nov 28 14:53:29 +0000 2020,' strong opinion: there are very very few cases where log scales should be used in communicating data to the general public.',0.14,0.0,0.86,0.06,0.29,0.65
8,newscientist,Sat Nov 28 14:52:05 +0000 2020,' google earth reveals suspected nuclear weapons facility in pakistan \n\n#nuclear #proliferation',0.0,0.32,0.68,0.04,0.33,0.63
9,newscientist,Sat Nov 28 14:51:58 +0000 2020,' google earth reveals suspected nuclear weapons facility in pakistan ',0.0,0.35,0.65,0.04,0.33,0.63
10,newscientist,Sat Nov 28 14:51:57 +0000 2020,' double climate disaster may have ended the harappan phase. \n\n',0.0,0.29,0.71,0.04,0.31,0.65
11,newscientist,Sat Nov 28 14:51:14 +0000 2020,' surreal californian oilscape wins climate change photography award ',0.47,0.0,0.53,0.04,0.33,0.63
12,newscientist,Sat Nov 28 14:50:04 +0000 2020,' surreal californian oilscape wins climate change photography award ',0.47,0.0,0.53,0.04,0.33,0.63
13,newscientist,Sat Nov 28 14:49:54 +0000 2020,' surreal californian oilscape wins climate change photography award ',0.47,0.0,0.53,0.04,0.33,0.63
14,newscientist,Sat Nov 28 14:49:39 +0000 2020,"' ""windfarms are really ugly"" '",0.0,0.42,0.58,0.36,0.05,0.59
