ID,Username,Data,Reply,Positive,Negative,Neutral,Hate,Offensive,Neither
1,thetimes,Sun Nov 29 18:39:34 +0000 2020,' dear dolly: my first love is now in a same-sex relationship and i cant stop thinking about it. ',0.34,0.0,0.66,0.03,0.55,0.42
2,thetimes,Sun Nov 29 18:39:29 +0000 2020,' exc: a former tory councillor who secured 276m in ppe contracts has bought a 250k holiday home in cornwall and a hou',0.2,0.0,0.8,0.04,0.34,0.62
3,thetimes,Sun Nov 29 18:39:28 +0000 2020,' exc: a former tory councillor who secured 276m in ppe contracts has bought a 250k holiday home in cornwall and a hou',0.2,0.0,0.8,0.04,0.34,0.62
4,thetimes,Sun Nov 29 18:39:27 +0000 2020,""" extraordinary stat from this interview with cressida dick, especially if you're american - the met police used a gun twice la""",0.0,0.22,0.78,0.05,0.6,0.34
5,thetimes,Sun Nov 29 18:39:27 +0000 2020,' exc: a former tory councillor who secured 276m in ppe contracts has bought a 250k holiday home in cornwall and a hou',0.2,0.0,0.8,0.04,0.34,0.62
6,thetimes,Sun Nov 29 18:39:12 +0000 2020,""" extraordinary stat from this interview with cressida dick, especially if you're american - the met police used a gun twice la""",0.0,0.22,0.78,0.05,0.6,0.34
7,thetimes,Sun Nov 29 18:39:07 +0000 2020,' exc: a former tory councillor who secured 276m in ppe contracts has bought a 250k holiday home in cornwall and a hou',0.2,0.0,0.8,0.04,0.34,0.62
8,thetimes,Sun Nov 29 18:39:07 +0000 2020,""" i'm sure my constituents, who have been in local lockdown for 4 months and were told to survive on 2/3rds of the minimum""",0.09,0.0,0.91,0.03,0.42,0.55
9,thetimes,Sun Nov 29 18:39:03 +0000 2020,""" extraordinary stat from this interview with cressida dick, especially if you're american - the met police used a gun twice la""",0.0,0.22,0.78,0.05,0.6,0.34
10,thetimes,Sun Nov 29 18:39:01 +0000 2020,""" extraordinary stat from this interview with cressida dick, especially if you're american - the met police used a gun twice la""",0.0,0.22,0.78,0.05,0.6,0.34
11,thetimes,Sun Nov 29 18:39:00 +0000 2020,"' sir alex has announced that, in a joint fund of up to 2 million created with his close friend sir michael moritz, a british philanthropist, they will match every pound of reader donations to fareshare through the times appeal. in '",0.12,0.0,0.89,0.04,0.35,0.6
12,thetimes,Sun Nov 29 18:38:59 +0000 2020,"' this q never comes up on programmes like a place in the sun. were not talking jet-set here, were talking lots of brits wh'",0.09,0.0,0.91,0.06,0.32,0.62
13,thetimes,Sun Nov 29 18:38:58 +0000 2020,"' this q never comes up on programmes like a place in the sun. were not talking jet-set here, were talking lots of brits wh'",0.09,0.0,0.91,0.06,0.32,0.62
14,thetimes,Sun Nov 29 18:38:55 +0000 2020,""" hard 'no' switches to convinced 'yes'!\n\nformer special adviser to three labour fm's sees the writing on the wall and hea""",0.23,0.06,0.72,0.05,0.4,0.55
15,thetimes,Sun Nov 29 18:38:47 +0000 2020,""" extraordinary stat from this interview with cressida dick, especially if you're american - the met police used a gun twice la""",0.0,0.22,0.78,0.05,0.6,0.34
16,thetimes,Sun Nov 29 18:38:40 +0000 2020,' exc: a former tory councillor who secured 276m in ppe contracts has bought a 250k holiday home in cornwall and a hou',0.2,0.0,0.8,0.04,0.34,0.62
17,thetimes,Sun Nov 29 18:38:35 +0000 2020,' following the heartless destruction of part of the wendover memorial woodland by #hs2 a moving candlelight vig',0.0,0.3,0.7,0.04,0.34,0.62
18,thetimes,Sun Nov 29 18:38:32 +0000 2020,' exc: brooks newmark is back. the disgraced former mp has established himself as a middle man for companies trying to l',0.0,0.12,0.88,0.04,0.34,0.61
19,thetimes,Sun Nov 29 18:38:32 +0000 2020,""" extraordinary stat from this interview with cressida dick, especially if you're american - the met police used a gun twice la""",0.0,0.22,0.78,0.05,0.6,0.34
20,thetimes,Sun Nov 29 18:38:31 +0000 2020,""" extraordinary stat from this interview with cressida dick, especially if you're american - the met police used a gun twice la""",0.0,0.22,0.78,0.05,0.6,0.34
21,thetimes,Sun Nov 29 18:38:27 +0000 2020,"' formula one driver romain grosjean survived an enormous crash at the bahrain grand prix today, walking away after his car was'",0.22,0.11,0.67,0.05,0.33,0.62
22,thetimes,Sun Nov 29 18:38:22 +0000 2020,' video: leaked documents reveal that uk soldiers are already monitoring cyberspace for covid-19 content &amp; analysing how br',0.0,0.11,0.89,0.05,0.28,0.68
23,thetimes,Sun Nov 29 18:38:13 +0000 2020,' video: leaked documents reveal that uk soldiers are already monitoring cyberspace for covid-19 content &amp; analysing how br',0.0,0.11,0.89,0.05,0.28,0.68
